origen,destino,probContagio
P001,P002,0.55
P001,P005,0.50
P001,P011,0.45
P002,P003,0.60
P002,P008,0.65
P002,P016,0.55
P003,P006,0.70
P003,P011,0.50
P003,P020,0.55
P004,P001,0.40
P004,P005,0.45
P004,P009,0.40
P005,P004,0.45
P005,P012,0.60
P005,P019,0.50
P006,P003,0.65
P006,P020,0.60
P006,P023,0.75
P007,P009,0.45
P007,P013,0.50
P007,P018,0.40
P008,P002,0.55
P008,P016,0.70
P009,P007,0.45
P009,P013,0.55
P009,P017,0.50
P010,P001,0.45
P010,P011,0.55
P010,P015,0.50
P011,P003,0.45
P011,P015,0.60
P011,P023,0.55
P012,P005,0.55
P012,P016,0.65
P012,P022,0.45
P013,P007,0.50
P013,P021,0.55
P014,P007,0.40
P014,P009,0.45
P014,P018,0.50
P015,P010,0.45
P015,P011,0.55
P015,P023,0.65
P016,P002,0.55
P016,P008,0.65
P016,P012,0.60
P017,P009,0.50
P017,P021,0.55
P018,P007,0.40
P018,P014,0.45
P019,P005,0.50
P019,P025,0.55
P020,P006,0.60
P020,P023,0.70
P021,P013,0.55
P021,P025,0.50
P022,P010,0.45
P022,P024,0.40
P023,P006,0.70
P023,P015,0.60
P023,P020,0.65
P024,P022,0.40
P024,P025,0.45
P025,P019,0.50
P025,P021,0.55
